Name,Purpose,Quantity,Total Cost (USD),Link,Distributor
"C25905","-55℃~+155℃ 5.1kΩ 50V 62.5mW Thick Film Resistor ±1% ±100ppm/℃ 0402 Chip Resistor - Surface Mount ROHS",22,0.02,"","0402WGF5101TCE"
"C2692734","-55℃~+125℃ 4.99kΩ 60mW 75V Thin Film Resistor ±0.1% ±25ppm/℃ 0402 Chip Resistor - Surface Mount ROHS",5,0.51,"","PTFR0402B4K99P9"
"C2765186","-25℃~+85℃ 1 16P 3A 5,000 times 5V Black Female Surface Mount, Right Angle Type-C SMD USB Connectors ROHS",5,0.37,"","TYPE-C 16PIN 2MD(073)"
"C2937625","-40℃~+105℃ 1 1x3P 2.54mm 2.5mm 250V 3A 3P 3mm 6mm Black Pin Header Through Hole Plugin,P=2.54mm Pin Headers ROHS",4,0.08,"","PZ254V-11-03P"
"C2980300","-103.5dBm -40℃~+65℃ 2.4GHz 20.5dBm 355mA 3V~3.6V 95mA Bluetooth5.0 ESP32-S3R8 UART、SPI、I2C、GPIO、I2S、USB SMD,19.2x18mm WiFi Modules ROHS",2,11.62,"","ESP32-S3-WROOM-1U-N8R8"
"C325567","-55℃~+155℃ 50V 62.5mW 680Ω Thick Film Resistor ±1% ±100ppm/℃ 0402 Chip Resistor - Surface Mount ROHS",30,0.08,"","RMC04026801%N"
"C364143","-55℃~+100℃ 1 1.15V 2.5kV 2us 3us 400mV@2.4mA,8mA 50% 50mA 55V 5V 600% Phototransistor SMD-4P Transistor, Photovoltaic Output Optoisolators ROHS",26,2.95,"","TLP521GB-S(UMW)"
"C369933","1 1.3V@(800mA) 18V 1A 3.3V 8mA Fixed Over Temperature Protection Positive SOT-223-4 Voltage Regulators - Linear, Low Drop Out (LDO) Regulators ROHS",6,0.35,"","AMS1117-3.3"
"C383211","-40℃~+125℃ 150W@8/20us 15pF 18.6V 1uA 5V 7.8V 9.4A@8/20us Bidirectional ESD IEC 61000-4-2、IEC 61000-4-4 SOD-523 ESD and Surge Protection (TVS/ESD) ROHS",22,0.54,"","LESD5D5.0CT1G"
"C436542","105mΩ 10uH 3A 7A ±20% SMD,7.1x6.6mm Power Inductors ROHS",5,0.50,"","PSPMAA0603-100M-ANF"
"C44377","-40℃~+150℃@(TJ) 1 146uA 2.5MHz 3.5A 4.5V~60V 800mV~58.8V Adjustable Buck Buck Built-in No SOIC-8-EP DC-DC Converters ROHS",2,1.57,"","TPS54360DDAR"
"C25744","-55℃~+155℃ 10kΩ 50V 62.5mW Thick Film Resistor ±1% ±100ppm/℃ 0402 Chip Resistor - Surface Mount ROHS",80,8.07,"","0402WGF1002TCE"
"C350303","-40℃~+105℃ 1 12P 1x12P 2.54mm 2.54mm 3.2mm 3A 8.5mm Brass Gold Square Hole Through Hole Top 插件,P=2.54mm Female Headers ROHS",2,0.30,"","2685Y-112CNG1SNA01"
"PCB","MAIN board",,19.33,"","JLC"
